#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Wamba|20010901|Nigeria|1	Cinek lab sample 198 C 20010901	20010901	9.081999,8.675277	C	9.081999	8.675277				Nigeria	Wamba	Assembly of 4 reads: 198_C_intF.ab1 (reversed), 198_C_r.ab1, 198_C_f.ab1 (reversed), 198_C_intR.ab1			Ondrej Cinek	Univerzita Karlova										
Victorville|20170403|USA|1	BibbyS2_20170403	20170403	34.6147109,-117.357345	C	34.6147109	-117.357345				USA	Victorville		Victor Valley Wastewater Reclamation Authority, 20111 Shay Rd. Victorville, CA 92394													
Khartoum|20160309|Sudan|1	Cinek primer C sample 274 20170421	20170421	15.5007,32.5599	C	15.5007	32.5599	274			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160309									
Dunedin|20160317|New_Zealand|1	Fineran Primer C	20160317	-45.9062333,170.4858516	C	-45.9062333	170.4858516				New_Zealand	Dunedin		10 Tahuna Rd, Otago 9013, New_Zealand		Peter Fineran	University of Otago										
Salfit|20151202|Israel|1	Qimron lab primer C 20151202	20151202	32.08,35.18	C	32.08	35.18				Israel	Salfit	Collected in Salfit			Udi Qimron	Tel Aviv University										
AlJafr|20020904|Jordan|1	Cinek lab sample 240 C 20020904	20020904	30.585164,36.238414	C	30.585164	36.238414				Jordan	Al-Jafr	Assembly of 4 reads: 240_C_intF.ab1 (reversed), 240_C_r.ab1, 240_C_f.ab1 (reversed), 240_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		f								
Oslo|20050926|Norway|2	Cinek.Norway.amplicons.T7667_C	20050926	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20050926		200509	Sanger						
Davis|20160421|United_States|2	DiazMunoz_Davis3_C	20160421	38.590894,-121.666779	C	38.590894	-121.666779				United States	Davis		City of Davis WWTP, 45452 Co Rd 28H, California 95776, USA	8.659m												
Shanghai|20160320|China|11	Quan Clone 11 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	11	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Kostelec_nad_Orlici|20151201|Czech_Republic|1	Cinek primerC sample 7 20151201	20151201	50.1226675,16.2131856	C	50.1226675	16.2131856	318	Plzen	pre-sewage treatment plant	Czech_Republic	Kostelec nad Orlici				Ondrej Cinek	Univerzita Karlova										
Khartoum|20160210|Sudan|1	Cinek primer C sample 300 20170421	20170421	15.5007,32.5599	C	15.5007	32.5599	300			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160210									
AlJafr|20050402|Jordan|1	Cinek lab sample 232 C 20050402	20050402	30.585164,36.238414	C	30.585164	36.238414				Jordan	Al-Jafr	Assembly of 4 reads: 232_C_intF.ab1 (reversed), 232_C_r.ab1, 232_C_f.ab1 (reversed), 232_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		m								
Rybienko_Stare|20160126|Poland|1	Decewicz Dziewit Primer C Wyszkow 20160126	20160126	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Lodz|20160303|Poland|4	Decewicz Dziewit Primer C Lodz 20160303	20160303	51.727940,19.347618	C	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Pilsen|20151201|Czech_Republic|2	Cinek primerC sample 6 20151201	20151201	49.7477831,13.3783489	C	49.7477831	13.3783489	414	Ostrava	pre-sewage treatment plant	Czech_Republic	Pilsen				Ondrej Cinek	Univerzita Karlova										
Warszawa|20160303|Poland|1	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Gava|20140601|Spain|1	Muniesa E23 Gava primer C Raw Sewage	20140601	41.3037013,1.9858569	C	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw Sewage
Bogota|20160412|Colombia|1	Maria Reyes Primer C 20160412	20160412	4.6500014,-74.0589398	C	4.6500014	-74.0589398				Colombia	Bogota		CorpoGen, Cra. 5 #66A-34, Bogota, Colombia 		Alejandro Reyes	Universidad de los Andes					1					
Oslo|20050926|Norway|1	Cinek.Norway.amplicons.T7664_C	20050926	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20050926		200509	Sanger						
