Run ID	Country	Date	Lat Lon
ERR414747	Spain	2008/2010	
ERR479196	France	2004/2006	
SRR2082446	Canada	2013	53.520710 N 113.524239 W
ERR479192	France	2004/2006	
SRR2183690	USA	06-12-2014	
SRR3183619	USA	2014-01-16	38.984652 N 77.094709 W
ERR210047	Denmark	2008-2010	
ERR1018210	China	2012	
ERR321436	Denmark	2008-2010	
ERR748430	Germany	2011/2014	
ERR210299	Denmark	2008-2010	
ERR321597	Denmark	2008-2010	
SRR2155377	Germany	May-2010	not applicable
SRR3313076	Luxembourg	2012-09-20	49.5 N 6.2 E
SRR3313045	Luxembourg	2012-10-18	49.5 N 6.2 E
ERR480668	France	2004/2006	
SRR2183713	USA	07-23-2014	
SRR4435736	USA	2014-06-30	39.288462639338995 N 76.62594594061375 W
ERR479248	France	2004/2006	
ERR480523	France	2004/2006	
ERR479502	Germany	2011/2013	
ERR748461	Germany	2011/2014	
SRR2043633	Hong_Kong	Apr-2014	22.15 N 114.10 E
SRR1554402	Canada	Oct-2010	missing
ERR209642	Spain	2008-2010	
ERR527025	China	2011	
ERR748197	Germany	2011/2014	
SRR2005663	Italy	17-Dec-2013	46.0667 N 11.1167 E
ERR589782	China	2012	
ERR210164	Denmark	2008-2010	
ERR321509	Denmark	2008-2010	
ERR480799	France	2004/2006	
ERR480817	France	2004/2006	
SRR2566015	Canada	2010-02-04	45.50 N 73.63 W
ERR1190976	China	2014	
SRR3993036	China	Oct-2010	43.95 N 116.17 E
SRR2565547	Canada	2010-05-17	45.50 N 73.63 W
ERR321538	Denmark	2008-2010	
ERR209415	Denmark	2008-2010	
ERR210482	Spain	2008-2010	
ERR210156	Denmark	2008-2010	
SRR1750104	USA	30-Jun-2014	40.67 N 73.99 W
ERR479309	France	2004/2006	
ERR210533	Spain	2008-2010	
ERR1018196	China	2012	
ERR321498	Denmark	2008-2010	
SRR1631545	USA	2013-02-14	38.984652 N 77.094709 W
ERR321525	Denmark	2008-2010	
ERR748453	Germany	2011/2014	
ERR321484	Denmark	2008-2010	
SRR3536848	USA	2014-04-09	31.1705 N 90.3748 W
ERR209225	Denmark	2008-2010	
SRR3184338	USA	2014-01-28	38.984652 N 77.094709 W
ERR480971	Germany	2011/2013	
ERR527009	China	2011	
ERR209062	Denmark	2008-2010	
ERR748318	Germany	2011/2014	
SRR2565544	Canada	2010-05-11	45.50 N 73.63 W
ERR420364	Pacific Ocean	2011/2012	
ERR414685	Spain	2008/2010	
SRR2565925	Canada	2010-11-18	45.50 N 73.63 W
ERR209271	Denmark	2008-2010	
ERR527024	China	2011	
ERR480596	France	2004/2006	
ERR527143	China	2011	
ERR414745	Spain	2008/2010	
ERR748476	Germany	2011/2014	
ERR1190689	China	2014	
SRR2939040	Canada	Aug-2009	45.4619517 N 75.5908728 W
ERR480851	France	2004/2006	
ERR480779	France	2004/2006	
SRR3992984	Mongolia	Jun-2013	47.55 N 106.79 E
ERR479495	Germany	2011/2013	
SRR1237781	Germany	07.03.2013	48_8
ERR1190968	China	2014	
ERR480798	France	2004/2006	
ERR1190823	China	2014	
ERR479234	France	2004/2006	
ERR321440	Denmark	2008-2010	
ERR321618	Denmark	2008-2010	
ERR210493	Spain	2008-2010	
SRR2566070	Canada	2010-04-26	45.50 N 73.63 W
ERR479169	France	2004/2006	
ERR414678	Spain	2008/2010	
SRR3501849	Singapore	2015-05-29	1.33 N 103.75 E
ERR209591	Spain	2008-2010	
ERR321494	Denmark	2008-2010	
ERR209854	Spain	2008-2010	
ERR210139	Denmark	2008-2010	
ERR748466	Germany	2011/2014	
SRR1761696	USA	2013	35.21 N 97.43 W
ERR479162	France	2004/2006	
SRR3993015	Mongolia	Oct-2010	47.30 N 106.15 E
ERR479538	Germany	2011/2013	
SRR4481730	USA	2014-06-06	39.288462639338995 N 76.62594594061375 W
SRR4435761	USA	2014-06-01	39.288462639338995 N 76.62594594061375 W
ERR209110	Denmark	2008-2010	
ERR1190605	China	2014	
ERR479570	Germany	2011/2013	
SRR2155308	Germany	Nov-2010	not applicable
SRR3993054	Mongolia	Jun-2013	47.55 N 106.62 E
SRR2155390	Germany	May-2010	not applicable
SRR1621003	USA	2011-09-30	38.984652 N 77.094709 W
ERR505106	Australia	2012	
SRR2566051	Canada	2010-03-11	45.50 N 73.63 W
ERR321294	Denmark	2008-2010	
ERR210045	Denmark	2008-2010	
SRR2565950	Canada	2009-11-09	45.50 N 73.63 W
SRR4481765	USA	2014-06-07	39.288462639338995 N 76.62594594061375 W
ERR479564	Germany	2011/2013	
ERR209545	Spain	2008-2010	
ERR526035	Denmark	2008/2010	
ERR527092	China	2011	
ERR748442	Germany	2011/2014	
