#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Encinitas|20160101|USA|1	Cardiff Primer B Site 2 20160101	20160101	33.016467,-117.273686	B	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201601						2	
Amman|20170421|Jordan|4	Cinek primer B sample 236 20170421	20170421	31.9454,35.9284	B	31.9454	35.9284	236			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Mascot|20170816|Australia|1	Barr Monash Sample6 PrimerB 20170816	20170816	-33.9399228,151.1730824	B	-33.9399228	151.1730824	6	New South Wales, Australia	Raw Sewage	Australia	Mascot															
Oslo|20070729|Norway|1	Cinek.Norway.metagenome.17467.5		59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20070729	F	200707	metagenome	17467	183	filtering + pelleting + enzymes			
Encinitas|20160901|USA|1	Cardiff Primer B Site 2 20160901	20160901	33.016467,-117.273686	B	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201609						2	
Modfice|20151201|Czech_Republic|1	Cinek primer B sample 12 20151201	20151201	49.1278897,16.6144122	B	49.1278897	16.6144122	476	Ostrava	pre-sewage treatment plant	Czech_Republic	Modfice				Ondrej Cinek	Univerzita Karlova										
Rybienko_Stare|20160126|Poland|1	Decewicz Dziewit Primer B Wyszkow 20160126	20160126	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Warszawa|20160126|Poland|2	Decewicz Dziewit Primer B Warsaw 20160126	20160126	52.351351,20.959269	B	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Engelsskiy_rayon|20160301|Russia|1	Tyakht SAR_275_B primer B	20160301	51.32,46.00	B	51.32	46.00				Russia	Engelsskiy rayon		Saratov, Russia		Alexander Tyakht	Federal Research and Clinical Center of Physical-Chemical Medicine										
Jericho|20151202|Israel|1	Qimron lab primer B 20151202	20151202	31.85,35.45	B	31.85	35.45				Israel	Jericho	Collected in Jericho			Udi Qimron	Tel Aviv University										
Oslo|20060201|Norway|1	Cinek.Norway.amplicons.T9713_B	20060201	59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20060201		200602	Sanger						
Aliso_Viejo|20170403|USA|1	BibbyS4_20170403	20170403	33.552967,-117.7218447	B	33.552967	-117.7218447				USA	Aliso Viejo		Coastal Treatment Plant, 28303 Alicia Pkwy, Laguna Niguel, CA 92677													
Amman|20170421|Jordan|3	Cinek primer B sample 217 20170421	20170421	31.9454,35.9284	B	31.9454	35.9284	217			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Escondido|20160101|USA|1	Escondido Primer B Site 1 20160101	20160101	33.105788,-117.114064	B	33.105788	-117.114064				USA	Escondido		Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University			201601						1	
Carlsbad|20160908|USA|1	Carlsbad Primer A Site 3 20160908	20160908	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201609						3	
Southbank|20170824|Australia|1	Barr Monash Sample4 PrimerB 20170824	20170824	-37.8274851,144.9527136	B	-37.8274851	144.9527136	4	Melbourne, Victoria, Australia	WWTP	Australia	Southbank															
Lisboa|20160225|Portugal|3	Santos Primer B24	20160225	38.7348396,-9.1863262	B	38.7348396	-9.1863262				Portugal	Lisboa		Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049-001 Lisboa		Ricardo Santos	Instituto Superior Tecnico										
Oslo|20060206|Norway|1	Cinek.Norway.amplicons.T9785_B	20060206	59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20060206		200602	Sanger						
Gava|20151001|Spain|1	Muniesa E1 Gava primer B Raw Sewage	20151001	41.3037013,1.9858569	B	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw sewage
