SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
ERR209513	3.02928	0	3.87897	0	3.03067	0
ERR209297	3.03604	0	3.73653	0	3.18725	0
ERR209771	3.03754	0	2.35129	0	3.36562	0
SRR1437774	3.03754	0	2.91218	0	1.3745	0
SRR3182128	3.03829	0	2.61255	0	2.70541	0
SRR619912	3.04129	0	1.68856	0	2.70299	0
ERR748483	3.04354	0	1.70258	0	1.08878	0
ERR209511	3.04505	0	3.83616	0	2.66102	0
ERR719443	3.05105	0	3.01033	0	5.54318	0
ERR321191	3.06156	0	5.71144	0	8.36158	0
DRR042640	3.06532	0	1.38819	2	2.24052	0
ERR719652	3.06532	0	1.60221	0	2.99919	0
SRR1490915	3.07808	0	2.24723	0	2.11299	0
SRR059916	3.07883	0	0.867159	0	2.94512	0
SRR1765583	3.08634	0	2.10996	0	2.84907	0
SRR3992986	3.08859	0	2.45461	0	4.954	0
SRR1215713	3.09384	0	1.68708	0	1.34625	0
ERR719150	3.09985	0	2.44354	0	7.37853	0
ERR719085	3.10886	0	3.69004	0	4.00888	0
ERR719429	3.11261	0	1.45461	0	4.43664	0
ERR480733	3.11486	0	4.06421	0	3.18079	0
SRR1804453	3.11712	0	4.23026	0	3.03067	0
ERR260179	3.11787	0	2.20148	0	2.69814	0
ERR321603	3.11937	0	1.71808	0	4.31316	0
DRR042570	3.12162	0	3.65461	0	3.38499	0
ERR1137501	3.12613	0	5.83395	0	5.44875	0
ERR481087	3.12913	0	0.512177	0	4.23487	0
ERR748466	3.12913	0	0.512177	0	4.23487	0
ERR321502	3.12988	0	2.95129	0	2.08555	0
ERR719453	3.13288	0	2.06347	0	4.37611	0
SRR1916764	3.13889	0	4.44428	0	2.80307	0
ERR209522	3.14339	0	5.58303	0	4.90073	0
ERR719648	3.1464	0	1.41476	0	2.72397	0
ERR1136628	3.14715	0	3.26421	0	3.94673	0
ERR1293919	3.14865	0	2.33432	0	2.25424	0
SRR1461893	3.1524	0	1.6155	0	1.77078	0
SRR1482553	3.15315	0	2.25756	0	1.70056	0
ERR479268	3.1539	0	3.47159	0	5.2163	0
ERR719649	3.15541	0	1.73063	0	2.87248	0
SRR3100155	3.15916	0	4.10554	0	1.85311	0
ERR209838	3.16141	0	2.33358	0	3.31558	0
DRR042419	3.16592	0	5.42362	0	4.25827	0
SRR1916818	3.16667	0	2.71365	0	3.43261	0
ERR209329	3.16742	0	2.45756	0	3.82567	0
ERR321537	3.17042	0	5.82066	0	5.05408	0
ERR1137599	3.18393	0	2.50701	0	2.82889	0
SRR514203	3.18694	0	5.17196	0	4.44068	0
ERR1293840	3.19294	0	2.48487	2	2.43664	0
ERR1137952	3.19895	0	2.50111	0	2.10896	0
SRR528186	3.20045	0	2.07528	0	3.71671	0
SRR1490968	3.21246	0	3.86642	0	1.74092	0
ERR1305894	3.21471	0	2.12989	0	1.61824	0
SRR1491555	3.21922	0	2.39631	0	1.4657	0
SRR4305259	3.22072	0	1.20148	0	2.69088	0
ERR480816	3.22372	0	4.47675	0	4.10654	0
SRR1196621	3.22447	0	3.22952	0	2.19693	0
SRR2155330	3.22748	0	2.70406	0	3.75141	0
ERR720145	3.22748	0	4.48339	0	5.24213	0
ERR748199	3.23123	0	2.8893	0	2.58757	0
ERR1578638	3.23198	0	2.89299	0	3.30912	0
ERR420344	3.23423	0	3.24059	0	4.47215	0
