#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Gava|20140101|Spain|1	Muniesa E7 Gava primer A Raw Sewage	20140101	41.3037013,1.9858569	A	41.3037013	1.9858569				Spain	Gava			Maite Muniesa	Universitat de Barcelona											Raw Sewage
Gava|20151001|Spain|1	Muniesa E1 Gava primer A Raw Sewage	20151001	41.3037013,1.9858569	A	41.3037013	1.9858569				Spain	Gava			Maite Muniesa	Universitat de Barcelona											Raw sewage
Oslo|20050923|Norway|1	Cinek.Norway.amplicons.T7596_A_partial	20050923	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20050923			200509	Sanger						
Zerdab|20070126|Azerbaijan|1	Cinek lab sample 344 A 20070126	20070126	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		m	Assembly of 4 reads: 344_A_intf.ab1 (reversed), 344_A_r.ab1, 344_A_intr.ab1, 344_A_f.ab1 (reversed)								
Baki|20170421|Azerbaijan|4	Cinek primer A sample 337 20170421	20170421	40.4093,49.8671	A	40.4093	49.8671	337			Azerbaijan	Baki			Ondrej Cinek	Univerzita Karlova											
Warszawa|20160126|Poland|7	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351,20.959269	A	52.351351	20.959269				Poland	Warszawa	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw											
Lodz|20160126|Poland|2	Decewicz Dziewit Primer A Lodz 20160126	20160126	51.727940,19.347618	A	51.727940	19.347618				Poland	Lodz	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland		Lukasz Dziewit	University of Warsaw											
Salfit|20151202|Israel|1	Qimron lab primer A 20151202	20151202	32.08,35.18	A	32.08	35.18				Israel	Salfit			Udi Qimron	Tel Aviv University			Collected in Salfit								
Carlsbad|20160908|USA|1	Carlsbad Primer A Site 3 20160301	20160908	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University				201609						3	
Amman|20170421|Jordan|3	Cinek primer A sample 236 20170421	20170421	31.9454,35.9284	A	31.9454	35.9284	236			Jordan	Amman			Ondrej Cinek	Univerzita Karlova											
Oslo|20060129|Norway|1	Cinek.Norway.amplicons.T9676_A	20060129	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20060129			200601	Sanger						
Carlsbad|20160901|USA|1	Carlsbad Primer A Site 3 20160901	20160901	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University				201609						3	
Carlsbad|20160301|USA|1	Carlsbad Primer A Site 3 20160301	20160301	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University				201603						3	
Escondido|20160301|USA|1	Escondido Primer A Site 1 20160301	20160301	33.105788,-117.114064	A	33.105788	-117.114064				USA	Escondido	Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University				201603						1	
Zerdab|20020517|Azerbaijan|1	Cinek lab sample 364 A 20020517	20020517	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		m	Assembly of 4 reads: 364_A_intf.ab1 (reversed), 364_A_r.ab1, 364_A_intr.ab1, 364_A_f.ab1 (reversed)								
Zerdab|20060505|Azerbaijan|1	Cinek lab sample 351 A 20060505	20060505	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		m	Assembly of 4 reads: 351_A_intf.ab1 (reversed), 351_A_r.ab1, 351_A_intr.ab1, 351_A_f.ab1 (reversed)								
Amman|20170421|Jordan|7	Cinek primer A sample 222 20170421	20170421	31.9454,35.9284	A	31.9454	35.9284	222			Jordan	Amman			Ondrej Cinek	Univerzita Karlova											
Lisboa|20160225|Portugal|2	Santos Primer A1	20160225	38.7348396,-9.1863262	A	38.7348396	-9.1863262				Portugal	Lisboa	Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049001 Lisboa		Ricardo Santos	Instituto Superior Tecnico											
Oslo|20060201|Norway|2	Cinek.Norway.amplicons.T9743_A	20060201	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20060201			200602	Sanger						
Oslo|20060501|Norway|1	Cinek.Norway.amplicons.T10995_A	20060501	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20060501			200605	Sanger						
Khartoum|20160303|Sudan|1	Cinek primer A sample 260 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	260			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160303										
Pakenham|20161213|Australia|1	Barr Monash Sample1 PrimerA 20161213	20161213	-38.1122141,145.4864454	A	-38.1122141	145.4864454	1	Pakenham WWTP, Victoria, Australia	WWTP	Australia	Pakenham															
Oswiecim|20160126|Poland|1	Decewicz Dziewit Primer A Oswiecim 20160126	20160126	50.038062,19.321854	A	50.038062	19.321854				Poland	Oswiecim	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw											
Encinitas|20160301|USA|1	Cardiff Primer A Site 2 20160301	20160301	33.016467,-117.273686	A	33.016467	-117.273686				USA	Encinitas	San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University				201603						2	
Ostrava|20151201|Czech_Republic|1	Cinek primer A sample 11 20151201	20151201	49.8346453,18.2820442	A	49.8346453	18.2820442	477	Vysni Lhoty	post-STP, refugee camp	Czech_Republic	Ostrava			Ondrej Cinek	Univerzita Karlova											
Lodz|20160303|Poland|2	Decewicz Dziewit Primer A Lodz 20160303	20160303	51.727940,19.347618	A	51.727940	19.347618				Poland	Lodz	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland		Lukasz Dziewit	University of Warsaw											
AlJafr|20070813|Jordan|1	Cinek lab sample 215 A 20070813	20070813	30.585164,36.238414	A	30.585164	36.238414				Jordan	Al-Jafr			Ondrej Cinek	Univerzita Karlova		f	Assembly of 4 reads: 215_A_intf.ab1 (reversed), 215_A_r.ab1, 215_A_f.ab1 (reversed), 215_A_intr.ab1								
Pinkenba|20170822|Australia|1	Barr Monash Sample8 PrimerA 20170822	20170822	-27.3755791,153.1491078	A	-27.3755791	153.1491078	8	Luggage Point WWTP, Queensland, Australia	WWTP	Australia	Pinkenba															
Ralsko|20151201|Czech_Republic|1	Cinek primer A sample 16 20151201	20151201	50.5583072,14.8217867	A	50.5583072	14.8217867	275	Zastavka u Brna	post-STP, refugee camp	Czech_Republic	Ralsko			Ondrej Cinek	Univerzita Karlova											
Wamba|20010901|Nigeria|1	Cinek lab sample 198 A 20010901	20010901	9.081999,8.675277	A	9.081999	8.675277				Nigeria	Wamba			Ondrej Cinek	Univerzita Karlova			Assembly of 4 reads: 198_A_intf.ab1 (reversed), 198_A_r.ab1, 198_A_intr.ab1, 198_A_f.ab1 (reversed)								
